name,year,fall,mass,reclat,reclong
Devgaon,2001.0,Fell,12000.0,19.0,81.0
Devri-Khera,1994.0,Fell,1140.0,24.225,76.525
Dhajala,1976.0,Fell,45000.0,22.37778,71.42722
Dharwar,1848.0,Fell,1800.0,14.88333,75.6
Dhurmsala,1860.0,Fell,32000.0,32.23333,76.46667
Didim,2007.0,Fell,3396.0,37.35172,27.32997
Diep River,1906.0,Fell,1000.0,-33.75,18.56667
Distrito Quebracho,1957.0,Fell,400.0,-31.88333,-60.46667
Djati-Pengilon,1884.0,Fell,166000.0,-7.5,111.5
Djermaia,1961.0,Fell,3950.0,12.73333,15.05
Djoumine,1999.0,Fell,10000.0,36.95,9.55
Dokachi,1903.0,Fell,3840.0,23.5,90.33333
Dolgovoli,1864.0,Fell,1600.0,50.75,25.3
Domanitch,1907.0,Fell,438.0,40.0,29.0
Dong Ujimqin Qi,1995.0,Fell,128800.0,45.5,119.03333
Donga Kohrod,1899.0,Fell,230.0,21.86667,82.45
Dongtai,1970.0,Fell,5500.0,32.91667,120.78333
Doroninsk,1805.0,Fell,3891.0,51.2,112.3
Dosso,1962.0,Fell,1250.0,13.05,3.16667
Douar Mghila,1932.0,Fell,1161.0,32.33333,-6.3
Dowa,1976.0,Fell,642.0,-13.66667,33.91667
Drake Creek,1827.0,Fell,5000.0,36.4,-86.5
Dresden (Ontario),1939.0,Fell,47700.0,42.52,-82.26
Dubrovnik,1951.0,Fell,1900.0,42.45833,18.44167
Dunbogan,1999.0,Fell,30.0,-31.66667,152.83333
Dundrum,1865.0,Fell,2270.0,52.55,-8.03333
Dunhua,1976.0,Fell,,43.33333,128.25
Durala,1815.0,Fell,13200.0,30.3,76.63333
Duruma,1853.0,Fell,577.0,-4.0,39.5
Duwun,1943.0,Fell,2117.0,33.43333,127.26667
Dwaleni,1970.0,Fell,3230.0,-27.2,31.31667
Dyalpur,1872.0,Fell,300.0,26.25,82.0
Dyarrl Island,1933.0,Fell,188.0,-3.0,151.0
Eagle,1947.0,Fell,10000.0,40.78167,-96.47167
Ehole,1961.0,Fell,2400.0,-17.3,15.83333
Eichstädt,1785.0,Fell,3000.0,48.9,11.21667
Ekeby,1939.0,Fell,3336.0,56.03333,13.0
Ekh Khera,1916.0,Fell,840.0,28.26667,78.78333
El Idrissia,1989.0,Fell,10000.0,34.41667,3.25
El Paso de Aguila,1977.0,Fell,17226.0,25.37,-97.37
El Tigre,1993.0,Fell,5000.0,19.96722,-103.05167
Elbert,1998.0,Fell,680.5,39.24667,-104.58817
Elbogen,1399.0,Fell,107000.0,50.18333,12.73333
Elenovka,1951.0,Fell,54640.0,47.83333,37.66667
Ellemeet,1925.0,Fell,1470.0,51.75,4.0
Emmaville,1900.0,Fell,127.0,-29.46667,151.61667
Enshi,1974.0,Fell,8000.0,30.3,109.5
Ensisheim,1491.0,Fell,127000.0,47.86667,7.35
Épinal,1822.0,Fell,277.0,48.18333,6.46667
Erakot,1940.0,Fell,113.0,19.03333,81.89167
Erevan,1911.0,Fell,107.2,40.3,44.5
Ergheo,1889.0,Fell,20000.0,1.16667,44.16667
Erxleben,1812.0,Fell,2250.0,52.21667,11.25
Esnandes,1837.0,Fell,1500.0,46.25,-1.1
Essebi,1957.0,Fell,500.0,2.88333,30.83333
