Residential,Commercial,Industrial,Total,dates
3990300.0,3308800.0,3039800.0,10668000.0,2000-08-01
3617700.0,3150300.0,3018700.0,10124000.0,2000-09-01
2800400.0,2817500.0,2883200.0,8799400.0,2000-10-01
2816100.0,2767500.0,2923500.0,8803600.0,2000-11-01
3649700.0,2769100.0,2718900.0,9425300.0,2000-12-01
4098900.0,2929800.0,2692800.0,10026000.0,2001-01-01
3567100.0,2909500.0,2937400.0,9726200.0,2001-02-01
2993700.0,2711800.0,2694200.0,8687000.0,2001-03-01
2748500.0,,2741800.0,8479700.0,2001-04-01
2636500.0,2821637.0,2777300.0,8532000.0,2001-05-01
3313600.0,3188600.0,2842300.0,9666900.0,2001-06-01
3893800.0,3295400.0,2683100.0,10187000.0,2001-07-01
4167900.0,3407200.0,2799900.0,10716000.0,2001-08-01
3531400.0,3223500.0,,9864200.0,2001-09-01
2755500.0,2883200.0,2682100.0,8630900.0,2001-10-01
2693600.0,2774200.0,2663800.0,8434500.0,2001-11-01
3102700.0,2756000.0,2518700.0,8664900.0,2001-12-01
3770700.0,2820300.0,2523900.0,9386000.0,2002-01-01
3449700.0,2891100.0,2787800.0,9418900.0,2002-02-01
3074800.0,2695000.0,2595500.0,8627700.0,2002-03-01
2846900.0,2787300.0,2691700.0,8598200.0,2002-04-01
2816700.0,2870100.0,2724500.0,8687800.0,2002-05-01
3572300.0,3196800.0,2812900.0,9882300.0,2002-06-01
4312700.0,3418900.0,2842700.0,10880000.0,2002-07-01
4333300.0,3413500.0,2847200.0,10907000.0,2002-08-01
3861100.0,3360300.0,2811500.0,10350000.0,2002-09-01
3049400.0,3106900.0,2709200.0,9167031.0,2002-10-01
2960700.0,2869800.0,2656900.0,8767800.0,2002-11-01
3524700.0,2872700.0,2563100.0,9240700.0,2002-12-01
4008800.0,3179300.0,2607400.0,9814900.0,2003-01-01
3962000.0,3258500.0,2839900.0,10080000.0,2003-02-01
3211700.0,2986400.0,2637400.0,8854000.0,2003-03-01
2781600.0,2989500.0,2768600.0,8557000.0,2003-04-01
,3090900.0,2729700.0,8670600.0,2003-05-01
3376200.0,3413600.0,2873700.0,9681700.0,2003-06-01
4215300.0,3717200.0,2830100.0,10781000.0,2003-07-01
4337700.0,3749200.0,2920500.0,11026000.0,2003-08-01
3795000.0,3549100.0,2856100.0,10220000.0,2003-09-01
2896200.0,3227000.0,2805900.0,8947700.0,2003-10-01
